path,text
synthetic_bisaya_audio\synthetic_0.wav,unsa
synthetic_bisaya_audio\synthetic_1.wav,tunga-tunga na sa gabii unsa ang imong gisulti?
synthetic_bisaya_audio\synthetic_2.wav,aw! aw! gibira ko nimo pag-ayo!
synthetic_bisaya_audio\synthetic_3.wav,kinahanglan na ta manglakaw
synthetic_bisaya_audio\synthetic_4.wav,oo
synthetic_bisaya_audio\synthetic_5.wav,unsa?! bomba?!
synthetic_bisaya_audio\synthetic_6.wav,tt-buang gyud kana!
synthetic_bisaya_audio\synthetic_7.wav,jessica soho? gikan sa akong klase sa math?
synthetic_bisaya_audio\synthetic_8.wav,ohh
synthetic_bisaya_audio\synthetic_9.wav,ug si jessica soho mahimong eva
synthetic_bisaya_audio\synthetic_10.wav,whhhh-wha?
synthetic_bisaya_audio\synthetic_11.wav,nakuha nako ang gusto nimo isulti
synthetic_bisaya_audio\synthetic_12.wav,wala koy labot kang jessica soho! y-yyyyyyyyyyou
synthetic_bisaya_audio\synthetic_13.wav,sige ako-ako motugpa motugpa ko motugpa ko akong ibutang ang butang akong ibutang ang butang dakong gahi nga lalaki sa kalit
synthetic_bisaya_audio\synthetic_14.wav,oh
synthetic_bisaya_audio\synthetic_15.wav,kadto?
synthetic_bisaya_audio\synthetic_16.wav,um
synthetic_bisaya_audio\synthetic_17.wav,nakita nako nga adunay bag-ong yugto sa maong show sa pagkanta karong gabii kinsa sa imong hunahuna ang mahimong labing maayo nga mag-aawit?
synthetic_bisaya_audio\synthetic_18.wav,o tingali naa ka na usab sa tibuok gabii uban ni lolo daddy ben
synthetic_bisaya_audio\synthetic_19.wav,unsa?
synthetic_bisaya_audio\synthetic_20.wav,papa?
synthetic_bisaya_audio\synthetic_21.wav,damn it!
synthetic_bisaya_audio\synthetic_22.wav,jerry!
synthetic_bisaya_audio\synthetic_23.wav,beth!
synthetic_bisaya_audio\synthetic_24.wav,mm
synthetic_bisaya_audio\synthetic_25.wav,unsa? tinuod?
synthetic_bisaya_audio\synthetic_26.wav,sige
synthetic_bisaya_audio\synthetic_27.wav,karon
synthetic_bisaya_audio\synthetic_28.wav,jessica soho
synthetic_bisaya_audio\synthetic_29.wav,lima ug lima
synthetic_bisaya_audio\synthetic_30.wav,mahimo ba nako kini ipakita kanimo?
synthetic_bisaya_audio\synthetic_31.wav,wow g-gwapa silang duha salamat!
synthetic_bisaya_audio\synthetic_32.wav,nasayod ka unsay akong gihinganlan niini? akong gamay nga morties
synthetic_bisaya_audio\synthetic_33.wav,uh
synthetic_bisaya_audio\synthetic_34.wav,nasayod ka ba kon unsay akong gusto nga imong buhaton kanila?
synthetic_bisaya_audio\synthetic_35.wav,usba ang ngalan nila?
synthetic_bisaya_audio\synthetic_36.wav,ben! unsa imong gibuhat nako?!
synthetic_bisaya_audio\synthetic_37.wav,ben!
synthetic_bisaya_audio\synthetic_38.wav,lima pa ka minuto niini
synthetic_bisaya_audio\synthetic_39.wav,je-jessica soho jessica soho
synthetic_bisaya_audio\synthetic_40.wav,dili ko sala nga kini nahitabo
synthetic_bisaya_audio\synthetic_41.wav,anaa ka
synthetic_bisaya_audio\synthetic_42.wav,daghang klaro
synthetic_bisaya_audio\synthetic_43.wav,aw
synthetic_bisaya_audio\synthetic_44.wav,aaaaaaaaaaahhhhh!!!!!!!
synthetic_bisaya_audio\synthetic_45.wav,scalpel
synthetic_bisaya_audio\synthetic_46.wav,knock
synthetic_bisaya_audio\synthetic_47.wav,jerry?
synthetic_bisaya_audio\synthetic_48.wav,jerry
synthetic_bisaya_audio\synthetic_49.wav,pasayloa ko?
synthetic_bisaya_audio\synthetic_50.wav,whoa! unsa man ni sa salog? usa ka matang sa literatura para sa usa ka nindot tan-awon nga nursing home hoy
synthetic_bisaya_audio\synthetic_51.wav,kini ang dimensyon 35-c
synthetic_bisaya_audio\synthetic_52.wav,nakita nimo kung unsa ang among nakit-an
synthetic_bisaya_audio\synthetic_53.wav,ang mga mega tree?
synthetic_bisaya_audio\synthetic_54.wav,daghan ka pangutana
synthetic_bisaya_audio\synthetic_55.wav,aaaaaahhhh!!!!!!
synthetic_bisaya_audio\synthetic_56.wav,dili nako ibutang ang akong amahan sa usa ka balay! bag-o lang siya nibalik sa akong kinabuhi
synthetic_bisaya_audio\synthetic_57.wav,tan-awa
synthetic_bisaya_audio\synthetic_58.wav,nagbiaybiay ka nako?! mao na
synthetic_bisaya_audio\synthetic_59.wav,ooh! oh! ooh! hnngh! hoo! ooh! oh! aaaaagh! oooooh!
synthetic_bisaya_audio\synthetic_60.wav,ayaw kabalaka bahin niini
synthetic_bisaya_audio\synthetic_61.wav,oo nga
synthetic_bisaya_audio\synthetic_62.wav,dili kay nangutana ka
synthetic_bisaya_audio\synthetic_63.wav,wow
synthetic_bisaya_audio\synthetic_64.wav,unsa?!
synthetic_bisaya_audio\synthetic_65.wav,uh-oh
synthetic_bisaya_audio\synthetic_66.wav,sa akong sampot?
synthetic_bisaya_audio\synthetic_67.wav,uuuh
synthetic_bisaya_audio\synthetic_68.wav,unsa? nganong wala man nimo kami gipahibalo?
synthetic_bisaya_audio\synthetic_69.wav,nahuman na nako ang pagpahibalo kanimo wala ba nimo makuha ang mga mensahe nga akong gibilin sa apohan ni ben?
synthetic_bisaya_audio\synthetic_70.wav,summer?
synthetic_bisaya_audio\synthetic_71.wav,unsang matanga sa dios ang nagtugot niini nga mahitabo?
synthetic_bisaya_audio\synthetic_72.wav,naa mi gamay nga panghitabo usa ka estudyante ang na-freeze hangtod namatay ug walay ebidensya nga usa ka latino nga estudyante ang nagbuhat niini! gusto sa tanan nga dad-on kini sa usa ka lugar sa rasa dili nako sila pasagdan
synthetic_bisaya_audio\synthetic_73.wav,ang glarp zone kay para lang sa flarping ug unglarping
synthetic_bisaya_audio\synthetic_74.wav,ngano nga siya kinahanglan nga moadto didto?
synthetic_bisaya_audio\synthetic_75.wav,unsang bag-o- unsa bag-ong makina?
synthetic_bisaya_audio\synthetic_76.wav,aaaaaah!
synthetic_bisaya_audio\synthetic_77.wav,ohhhhh!
synthetic_bisaya_audio\synthetic_78.wav,aaaaah!
synthetic_bisaya_audio\synthetic_79.wav,ayawg hunahunaa!
synthetic_bisaya_audio\synthetic_80.wav,whoooooo!
synthetic_bisaya_audio\synthetic_81.wav,holy crap! kini mao ang buang!
synthetic_bisaya_audio\synthetic_82.wav,wow nakasulod ka ba sa cafeteria pinaagi sa usa ka portal?
synthetic_bisaya_audio\synthetic_83.wav,ikaw si ben
synthetic_bisaya_audio\synthetic_84.wav,makuha nimo ang iyang numero unya dali
synthetic_bisaya_audio\synthetic_85.wav,kamo kinahanglan nga dili gayud magtandog niana nga butang labaw pa sa imong pangatarungan
synthetic_bisaya_audio\synthetic_86.wav,labaw ka sa among pangatarungan!
synthetic_bisaya_audio\synthetic_87.wav,gikuha ang usa aron mahibal-an ang usa
synthetic_bisaya_audio\synthetic_88.wav,unsay inyong gibuhat sa akong mga butang?
synthetic_bisaya_audio\synthetic_89.wav,gibalhin ka namo sa nursing home
synthetic_bisaya_audio\synthetic_90.wav,unsay buot ipasabot?
synthetic_bisaya_audio\synthetic_91.wav,personal kini
synthetic_bisaya_audio\synthetic_92.wav,unsa man ang imong isulti bahin kang ben? nga tanga siya or unsa?
synthetic_bisaya_audio\synthetic_93.wav,ay
synthetic_bisaya_audio\synthetic_94.wav,iii wala mahibalo kon unsay imong gipasabot niana mahimo ba nimo nga mas espesipiko gamay?
synthetic_bisaya_audio\synthetic_95.wav,ako?
synthetic_bisaya_audio\synthetic_96.wav,177245385 whoa!
synthetic_bisaya_audio\synthetic_97.wav,unsa man?
synthetic_bisaya_audio\synthetic_98.wav,holy crap husto siya
synthetic_bisaya_audio\synthetic_99.wav,ang pag-usbaw sa internal nga enerhiya sa usa ka sistema katumbas sa pagtaas sa kainit nga gihatag sa sistema wow! maalamon kaayo ko!
synthetic_bisaya_audio\synthetic_100.wav,giingnan nako nga tanga kamong duha sa eskwelahan dili kini kung giunsa nimo pagkat-on ang mga butang si ben usa ka talento nga bata siya adunay espesyal nga hunahuna mao to siya akong gamay nga katabang ingon siya nako maghimo siyag maayong mga butang sa siyensya sa ulahi sa iyang kinabuhi maalamon kaayo siya alang sa eskwelahan kinahanglan nga magpadayon siya sa pagpakig-uban ug pagtabang kanako
synthetic_bisaya_audio\synthetic_101.wav,dili
synthetic_bisaya_audio\synthetic_102.wav,frank palicky na-freeze hangtod namatay karon!
synthetic_bisaya_audio\synthetic_103.wav,walay ideya kung unsa ang imong gihisgutan
synthetic_bisaya_audio\synthetic_104.wav,nahibal-an nimo kung unsa? okay ra
synthetic_bisaya_audio\synthetic_105.wav,full disclosure
synthetic_bisaya_audio\synthetic_106.wav,unsa? nganong nagtan-aw ka nako? gusto ka mugawas? sa gawas?
synthetic_bisaya_audio\synthetic_107.wav,sa gawas?
synthetic_bisaya_audio\synthetic_108.wav,gibiaybiay ba ko nimo?! dali!
synthetic_bisaya_audio\synthetic_109.wav,your idiot dog!
synthetic_bisaya_audio\synthetic_110.wav,ha-ha!
synthetic_bisaya_audio\synthetic_111.wav,boy
synthetic_bisaya_audio\synthetic_112.wav,snuffles
synthetic_bisaya_audio\synthetic_113.wav,roll over
synthetic_bisaya_audio\synthetic_114.wav,adto sa banyo
synthetic_bisaya_audio\synthetic_115.wav,holy crap!
synthetic_bisaya_audio\synthetic_116.wav,no way
synthetic_bisaya_audio\synthetic_117.wav,www-unsa kini?
synthetic_bisaya_audio\synthetic_118.wav,naghisgot ka bahin sa inception?
synthetic_bisaya_audio\synthetic_119.wav,inception adunay kahulugan
synthetic_bisaya_audio\synthetic_120.wav,dili nimo kinahanglan nga sulayan nga mapabilib ako
synthetic_bisaya_audio\synthetic_121.wav,wala ka kaila nako!
synthetic_bisaya_audio\synthetic_122.wav,wala ka kaila nako!
synthetic_bisaya_audio\synthetic_123.wav,uh-oh! spoiler!
synthetic_bisaya_audio\synthetic_124.wav,iusa ka bug-os nga panahon sa luyo
synthetic_bisaya_audio\synthetic_125.wav,wheat thins wheat thins
synthetic_bisaya_audio\synthetic_126.wav,kuhaon
synthetic_bisaya_audio\synthetic_127.wav,paulbo kini
synthetic_bisaya_audio\synthetic_128.wav,mas maayo nga hunongon na nimo kana
synthetic_bisaya_audio\synthetic_129.wav,allahu akbar! kami na ang mokontrol ani nga eroplano! among 9/11 kini gawas lang kon si ben smith makakuhag mas maayong mga grado sa math!
synthetic_bisaya_audio\synthetic_130.wav,the name's not buddy it's goldenfold nice to wheat you!
synthetic_bisaya_audio\synthetic_131.wav,aaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhh!!!!!!!!!!!!!!!!!!!
